Country,tenure_2020,tenure_2024
Global,71,72
Afghanistan,73,57
Albania,78,77
Algeria,78,74
Argentina,82,75
Armenia,80,77
Australia,86,-
Austria,94,-
Azerbaijan,86,79
Bangladesh,66,82
Belarus,86,-
Belgium,81,-
Benin,63,73
Bolivia,63,60
Bosnia and Herzegovina,87,87
Botswana,57,57
Brazil,74,71
Bulgaria,80,83
Burkina Faso,54,75
Cambodia,52,45
Cameroon,55,71
Canada,85,-
Chad,70,69
Chile,72,81
China,75,69
Colombia,65,64
Comoros,60,48
Congo (Republic),56,64
Costa Rica,75,70
Croatia,87,82
Cyprus,71,72
Côte d'Ivoire,59,75
Denmark,92,-
Dominican Republic,68,-
Ecuador,69,68
Egypt,79,81
El Salvador,65,63
Estonia,83,88
Eswatini,52,-
Ethiopia,71,74
Finland,94,-
France,80,-
Gabon,58,74
Gambia,65,78
Georgia,79,77
Germany,87,-
Ghana,62,64
Greece,80,63
Guatemala,57,70
Guinea,69,63
Honduras,68,68
Hungary,88,85
India,64,79
Indonesia,63,71
Iran,52,49
Iraq,68,70
Ireland,84,-
Israel,82,77
Italy,89,89
Japan,78,-
Jordan,57,51
Kazakhstan,80,77
Kenya,61,63
Korea (Republic),78,-
Kosovo,88,82
Kuwait,47,77
Kyrgyzstan,76,78
Lao,52,59
Latvia,79,82
Lebanon,77,68
Liberia,51,60
Libya,65,66
Lithuania,87,80
Luxembourg,73,-
Madagascar,67,76
Malawi,71,52
Malaysia,54,60
Mali,65,69
Malta,88,-
Mauritania,72,73
Mauritius,65,63
Mexico,79,74
Moldova,81,81
Mongolia,76,78
Montenegro,82,80
Morocco,68,61
Mozambique,57,51
Myanmar,75,56
Namibia,63,65
Nepal,82,84
Netherlands,90,-
New Zealand,85,-
Nicaragua,72,70
Niger,60,68
Nigeria,68,68
North Macedonia,85,-
Northern Cyprus,69,-
Norway,91,-
Pakistan,57,82
Palestine,73,70
Panama,73,75
Paraguay,83,80
Peru,67,70
Philippines,51,41
Poland,82,83
Portugal,87,-
Romania,88,-
Russian Federation,81,80
Rwanda,89,-
Saudi Arabia,59,70
Senegal,77,72
Serbia,89,86
Sierra Leone,59,57
Singapore,92,-
Slovakia,79,-
Slovenia,91,-
South Africa,62,72
Spain,88,-
Sri Lanka,67,64
Sweden,92,-
Switzerland,91,-
Taiwan (Province of China),78,-
Tajikistan,74,79
Tanzania,64,58
Thailand,72,68
Togo,63,71
Tunisia,74,88
Turkey,63,59
Turkmenistan,90,-
Uganda,62,61
Ukraine,78,61
United Arab Emirates,59,69
United Kingdom,87,83
United States of America,86,73
Uruguay,80,84
Uzbekistan,91,88
Venezuela,72,72
Viet Nam,82,82
Yemen,64,58
Zambia,70,63
Zimbabwe,67,78
