Species group,Common Name,Scientific Name
Bison,Plains bison,Bison bison bison
Migratory birds,Oriental white stork,Ciconia boyciana
Migratory birds,White-naped crane,Antigone vipio
Migratory birds,Scaly sided merganser,Mergus squamatus
Migratory birds,Bar-tailed godwit,Limosa lapponica
Migratory birds,Black-faced spoonbill,Platalea minor
Migratory birds,Dalmatian pelican,Pelecanus crispus
Migratory birds,Red knot,Calidris canutus
Migratory birds,Lesser white-fronted goose,Anser erythropus
Migratory birds,Black-necked crane,Grus nigricollis
Migratory birds,Bar headed goose,Anser indicus
Migratory fish,Atlantic salmon,Salmo salar
Bears,Giant panda,Ailuropoda melanoleuca
Bears,Polar bear,Ursus maritimus
Big cats,Jaguar,Panthera onca
Big cats,Amur Leopard,Panthera pardus orientalis
Big cats,Caucasian Leopard,Panthera pardus tulliana
Big cats,Snow leopard,Panthera uncia
Big cats,Tiger (continental subspecies),Panthera tigris tigris
Big cats,Tiger (Sunda island subspecies),Panthera tigris sondaica
Elephants,African savanna elephant,Loxodonta cyclotis
Elephants,African forest elephant,Loxodonta africana
Elephants,Asian elephant,Elephas maximus indicus
Elephants,Bornean elephant,Elephas maximus borneensis
Rhinos,White Rhino,Ceratotherium simum
Rhinos,Black Rhino,Diceros bicornis
Rhinos,Greater one-horned rhino,Rhinoceros unicornis
Rhinos,Javan rhino,Rhinoceros sondaicus
Rhinos,Sumatran rhino,Dicerorhinus sumatrensis
Apes,Chimpanzee,Pan troglodytes
Apes,Eastern Gorilla,Gorilla beringei
Apes,Western Gorilla,Gorilla gorilla
Apes,Bonobo,Pan paniscus
Apes,Bornean Orang-utan,Pongo pygmaeus
Apes,Sumatran Orang-utan,Pongo abelii
Sea Turtles,Leatherback,Dermochelys coriacea
Sea Turtles,Hawksbill,Eretmochelys imbricata
Sea Turtles,Loggerhead,Caretta caretta
Sea Turtles,Green,Chelonia mydas
Sea Turtles,Olive Ridley,Lepidochelys olivacea
Whales,Humpback whale (Arabia),Megaptera novaeangliae
Dolphins and Porpoises,Harbour porpoise (Baltic Sea),Phocoena phocoena
Dolphins and Porpoises,Franciscana,Pontoporia blainvillei
Whales,North Atlantic right whale,Eubalaena glacialis
Dolphins and Porpoises,Vaquita,Phocoena sinus
Whales,Western gray whale,Eschrichtius robustus
Whales,Bowhead (Barents Sea),Balaena mysticetus
Whales,Beluga,Huso huso
Whales,Narwhal,Monodon monoceros
Whales,Sperm whale (Mediterranean),Physeter macrocephalus
Dolphins and Porpoises,Short-beaked common dolphin (Mediterranean),Delphinus delphis
Dolphins and Porpoises,Atlantic humpbacked dolphin,Sousa teuszii
Dolphins and Porpoises,Indo-Pacific finless porpoise,Neophocaena phocaenoides
Dolphins and Porpoises,Indo-Pacific humpback dolphin (Chinese white dolphin),Sousa chinensis
Dolphins and Porpoises,Australian snubfin dolphin,Orcaella heinsohni
Dolphins and Porpoises,"Hector’s dolphin (including Maui’s dolphin, a sub-species)",Cephalorhynchus hectori
Whales,Fin whale,Baleanoptera physalus
Whales,Southern right whale (Chile-Peru),Eubalaena australis
Whales,Blue whale,Balaenoptera musculus
Dolphins and Porpoises,Chilean dolphin,Cephalorhynchus eutropia
Dolphins and Porpoises,Yangtze finless porpoise,Neophocaena asiaeorientalis
Dolphins and Porpoises,Boto (Amazon river dolphin),Inia geoffrensis
