country,isocode3,INTD_2013_ct_WHO,INTD_2019_ct_WHO,INTD_2012_ct_WHO,INTD_2011_ct_WHO,INTD_2021_ct_WHO,INTD_2017_ct_WHO,INTD_2022_ct_WHO,INTD_2023_ct_WHO,INTD_2016_ct_WHO,INTD_2020_ct_WHO,INTD_2014_ct_WHO,INTD_2010_ct_WHO,INTD_2015_ct_WHO,INTD_2018_ct_WHO
Afghanistan,AFG,13291651,16222053,14045789,12600642,14367281,14786722,14367281,16959219,13275429,14367281,13384908,12246738,13765392,14834701
Albania,ALB,55,9,53,53,21,22,0,3,21,6,33,61,16,47
Algeria,DZA,22713,10339,7471,11831,7083,13158,5780,7656,10752,11599,5460,10260,7561,10950
Angola,AGO,17149903,15362008,16421331,16066272,8558522,14739913,8672543,8789216,14419092,7698802,17666908,15879207,18534219,15220708
Argentina,ARG,9699,160777,938732,952894,151847,1592,1020,147183,80002,161306,3733,953102,5411,162233
Armenia,ARM,38697,18,42437,42243,11,39149,14,30,39149,70,38894,41986,39044,39149
Australia,AUS,144692,13700,60279,72560,18286,20123,3477,10441,20994,20401,54311,89732,17476,20123
Austria,AUT,74,36,5,7,42,130,54,54,118,34,94,31,65,46
Azerbaijan,AZE,345496,686000,1010915,1087125,0,1655112,0,0,1719031,686000,1678318,1080371,1699962,1655112
Bangladesh,BGD,80102840,56339394,99041038,103328969,56381566,56339394,53874746,57177911,47484224,56339394,49867142,102279713,49839493,56339394
Belarus,BLR,0,1,1,2,0,0,0,0,0,8,0,0,2,0
Belgium,BEL,167,50,6,1,34,51,55,61,20,54,109,1,9,42
Belize,BLZ,7565,3637,10514,10471,3104,6903,5080,1689,7312,1069,7062,10456,7300,1322
Bhutan,BTN,108115,229846,69535,69283,181040,234506,173578,173578,241761,229837,107846,69529,227111,222639
Bosnia and Herzegovina,BIH,1,0,0,0,0,0,0,0,0,0,2,1,0,0
Botswana,BWA,251555,238203,268521,266032,1430711,241157,1464410,685567,261950,1461240,252333,264669,257169,238203
Brazil,BRA,12001914,9560959,13260415,13137591,9710068,9411158,5245909,3102066,10461013,9629923,11528143,27000000,11067291,9489512
Brunei Darussalam,BRN,15000,0,15000,15000,2,2,0,1,9240,1,9239,15000,9239,1
Bulgaria,BGR,294,197,322,310,90,217,89,119,275,96,316,295,320,210
Cambodia,KHM,4347927,5068956,4134227,4517044,4500729,5298995,4830549,4716388,4771389,5194507,5550420,4533102,5610240,4182394
Cameroon,CMR,20442764,16891418,19647096,19339400,11465695,16222133,11290383,11963613,19389766,11348320,19433385,19286214,20630132,16537416
Canada,CAN,0,3,0,0,6,5,3,3,0,1,0,0,0,10
Central African Republic,CAF,4019436,4442825,4005821,4013319,6389657,3765243,6389657,6999367,3756993,4442825,4048943,3987855,4096089,3300000
Chile,CHL,45,437,125478,131544,208,444,2,7,44,228,30,132541,40,361
China,CHN,25822219,22844,25663107,25548140,816,26376326,1216,18225,26375574,825,25974569,52000000,26100630,26378300
Colombia,COL,4722564,3186736,4722872,4924261,3272079,3391009,3294657,3307872,3761361,3237824,4410048,4921126,3846506,3350646
Congo,COG,3523377,1407153,3404680,3249179,1486475,1285748,1508487,1543031,2278289,1438750,3567584,3223012,1346327,1323442
Costa Rica,CRI,51844,10011,49995,50827,5746,7794,7987,31336,24462,10590,28942,51178,18569,4017
Croatia,HRV,7,4,2,1,3,15,5,8,11,3,20,0,11,5
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,193708,9608,321415,318717,21869,1848654,16933,28918,1942753,21011,1789316,340067,1943932,4351
El Salvador,SLV,849969,1443743,233387,238045,1483962,1411062,1335218,1475552,742568,1416732,821068,242858,702992,1443743
Equatorial Guinea,GNQ,464044,429326,463562,462546,668511,429326,668511,1046007,428948,429326,465031,461503,466357,429326
Eswatini,SWZ,591129,406184,577163,584020,406184,261261,247183,250978,198319,406184,597165,580187,331005,247084
Fiji,FJI,277616,919387,637852,529984,923067,911449,941528,523954,905113,921225,892573,879985,898821,917552
France,FRA,414,284,174,131,88,486,97,145,436,303,340,640,337,274
