isocode3,country,vaccineage1_2011_pct_GDL,vaccineage1_2015_pct_GDL,vaccineage1_2005_pct_GDL,vaccineage1_2009_pct_GDL,vaccineage1_2017_pct_GDL,vaccineage1_2002_pct_GDL,vaccineage1_2013_pct_GDL,vaccineage1_2019_pct_GDL,vaccineage1_2000_pct_GDL,vaccineage1_2016_pct_GDL,vaccineage1_2010_pct_GDL,vaccineage1_2006_pct_GDL,vaccineage1_2023_pct_GDL,vaccineage1_1996_pct_GDL,vaccineage1_2004_pct_GDL,vaccineage1_2014_pct_GDL,vaccineage1_2022_pct_GDL,vaccineage1_2012_pct_GDL,vaccineage1_2001_pct_GDL,vaccineage1_2018_pct_GDL,vaccineage1_2021_pct_GDL,vaccineage1_1998_pct_GDL,vaccineage1_2003_pct_GDL,vaccineage1_2008_pct_GDL,vaccineage1_1994_pct_GDL,vaccineage1_1997_pct_GDL,vaccineage1_1995_pct_GDL,vaccineage1_2007_pct_GDL,vaccineage1_1999_pct_GDL,vaccineage1_2020_pct_GDL,vaccineage1_1992_pct_GDL,vaccineage1_1993_pct_GDL,vaccineage1_2024_pct_GDL,vaccineage1_1991_pct_GDL
AFG,Afghanistan,NA,67.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,NA,NA,NA,97.72,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.31999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,87.92,94.46000000000001,95.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.339999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,Bangladesh,94.43999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.16,86.08,93.67999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.86,82.18,89.44000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BWA,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.58000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHM,Cambodia,NA,NA,84.79999999999998,NA,NA,NA,NA,NA,60.580000000000005,NA,89.11999999999999,NA,NA,NA,NA,88.7,NA,NA,NA,NA,89.17999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
