country,isocode3,MM_2008_rto_WHO,MM_2001_rto_WHO,MM_2009_rto_WHO,MM_2017_rto_WHO,MM_2013_rto_WHO,MM_1988_rto_WHO,MM_2016_rto_WHO,MM_1990_rto_WHO,MM_2000_rto_WHO,MM_2023_rto_WHO,MM_2014_rto_WHO,MM_2005_rto_WHO,MM_2019_rto_WHO,MM_2010_rto_WHO,MM_2006_rto_WHO,MM_2015_rto_WHO,MM_1999_rto_WHO,MM_1993_rto_WHO,MM_2021_rto_WHO,MM_2018_rto_WHO,MM_1994_rto_WHO,MM_1989_rto_WHO,MM_1996_rto_WHO,MM_1992_rto_WHO,MM_2007_rto_WHO,MM_1997_rto_WHO,MM_1986_rto_WHO,MM_2011_rto_WHO,MM_2004_rto_WHO,MM_1995_rto_WHO,MM_2002_rto_WHO,MM_1991_rto_WHO,MM_1985_rto_WHO,MM_2012_rto_WHO,MM_2020_rto_WHO,MM_2022_rto_WHO,MM_2003_rto_WHO,MM_1998_rto_WHO,MM_1987_rto_WHO
Afghanistan,AFG,955.2373281,1310.954923,925.4222917,658.5652828,778.4308657,1571.692582,702.2406141,1549.998624,1371.645908,520.5022864,754.5868369,1108.05603,601.0600766,892.7351444,1069.436333,741.1936414,1346.174482,1346.506432,660.2219088,629.2391585,1395.918586,1520.027486,1389.40267,1443.339968,1032.007881,1375.644881,1856.920758,838.23551869999994,1166.469374,1413.953571,1262.516681,1534.464445,2231.506208,809.7532045,633.6187131,550.731835,1201.38145,1463.575532,1820.591314
Albania,ALB,9.739621599,14.4295666,9.4136967,7.853670701,9.936336943,31.95795942,8.474855766,29.51206216,15.4198653,6.86681461,9.713074758,12.19078709,7.109886363,9.366513137,11.41079466,9.139483991,16.54762283,23.67204824,13.80074386,7.376224284,22.23483246,30.88055562,19.92865281,25.79019188,10.43994166,20.70723912,35.17040693,9.451179409,12.8660531,20.89407905,13.78387477,27.59026448,37.99778229,9.795039287,7.033476047,7.99804587,13.41151553,17.73772083,33.15333393
Algeria,DZA,83.32107118,113.3893905,82.62749882,77.33012671,80.59615849,227.227007,78.69241,201.6196524,122.6197065,62.48508507,80.466736,86.94945789,73.17388753,81.88519636,84.47351062,79.48452305,131.9041068,195.3736074,78.85966617,75.4322399,196.3441569,214.9096594,173.2306631,193.1517578,83.49241987,155.4171755,265.328089,80.71157855,90.71182882,187.1845417,102.0659755,197.9858131,291.7664343,81.08458935,96.77084703,64.45587535,101.0072426,142.567098,242.9835835
Angola,AGO,372.2048971,628.606353,348.0829497,220.3095473,266.7850365,895.3350855,235.6878204,875.5935282,659.3351884,183.2019263,261.7348521,461.9025905,201.5926827,321.4337389,437.16848,249.3749766,686.6371596,855.0434162,210.5683328,208.382423,811.8619249,883.8661273,746.5831648,876.9939404,401.2986412,717.1285446,864.250694,300.586423,498.9089688,771.7137319,602.3700556,826.3467469,876.5891097,277.7975873,194.8259598,184.5930974,538.0167748,723.311262,919.5930558
Argentina,ARG,59.32072768,60.25133472,62.10811691,38.34256564,46.72781163,70.37779839,39.51279922,67.59089446,57.80833594,33.2281392,43.45149801,57.45685497,36.41050684,54.74271784,60.0439728,38.61611031,57.04255898,61.59898279,76.48617561,38.48332942,61.51790492,67.61405585,58.75441716,64.73672192,61.74070122,59.62036567,76.41929364,48.47360795,58.43938382,59.9858825,59.15006131,66.57681611,79.58969007,49.27161601,39.67995674,39.32266505,60.9326804,56.66149129,73.2558027
Armenia,ARM,29.494744,37.73873779,28.72849974,23.94324106,26.0199263,54.80166295,24.5908302,47.14286354,39.56807124,19.48496158,25.5449817,32.2946841,23.26512572,27.84729851,31.03774523,25.04951738,41.77620629,49.76814243,57.30209929,23.58584654,50.50321462,46.40997155,49.38701931,49.82486551,30.26684418,47.56590153,53.52333131,27.24706844,33.69224323,50.1139975,36.14440829,46.97632277,54.83627993,26.57140721,43.30131746,26.7342211,34.86200384,44.97422097,51.58156467
Australia,AUS,4.956033776,5.806005485,5.344341139,5.628509571,5.896634018,8.765621822,5.928922082,8.757759736,6.615894683,2.332995566,5.978974604,4.825447431,5.293545524,5.395861133,4.910580817,5.90066291,7.095946138,8.698872744,4.325178745,5.353110927,8.79118789,8.99550124,8.042411402,8.874564733,5.052105545,7.957327922,8.49084492,5.821102393,5.130001635,8.517914299,5.513234469,8.930135134,8.773971826,5.809954622,5.138639481,3.595333967,5.435313943,7.437136472,8.700530976
Austria,AUT,5.535117003,6.160695651,5.895548546,6.294112825,6.088971128,12.85622385,6.486709795,11.65969141,6.665353712,6.104359857,6.52484725,5.938012275,6.606055138,6.10540285,5.620922618,6.571350542,6.870002356,10.12321585,5.962358426,6.930696284,9.771193575,12.30305369,8.10202582,10.47917098,5.669461391,7.156994899,14.10932099,6.218460226,5.583304804,8.69909396,6.145526139,11.15983503,13.85919092,5.985591988,5.552341512,7.450681009,6.253096073,6.666068695,13.00533986
Azerbaijan,AZE,30.28849413,45.08674657,29.2675292,21.88029327,23.86968697,45.35861951,22.33863649,41.17637958,46.17344277,17.89597053,22.71932245,39.74410848,21.02195525,28.32534197,33.47457867,21.41092093,50.94330398,54.22772558,54.79307423,20.69599771,58.20765916,43.10792709,57.8336628,56.12478252,33.14765985,59.22004836,48.23520746,27.49895767,39.64947489,63.55856954,40.4001543,43.30567163,45.49995052,28.09555776,21.09161231,31.7196286,41.31087553,54.25634553,44.83696575
Bangladesh,BGD,310.0428781,494.798851,292.7508784,179.041196,230.4086928,881.1076163,191.0299516,870.4179371,522.6529523,115.1149324,216.7063553,377.5322521,157.2116625,274.6342259,352.3234485,203.5367467,554.4972256,790.5457894,193.8906671,167.9323727,748.8188729,876.6920655,663.6775886,826.7405676,334.0855608,625.6421549,890.9494495,258.3330195,406.0547828,706.6702592,465.2857233,889.9382426,925.5020593,244.1808988,151.8462478,130.5189733,435.6746223,589.2030094,883.9517054
