isocode3,country,u5mort_2011_rto_GDL,u5mort_2015_rto_GDL,u5mort_2005_rto_GDL,u5mort_2009_rto_GDL,u5mort_2017_rto_GDL,u5mort_2002_rto_GDL,u5mort_2013_rto_GDL,u5mort_2019_rto_GDL,u5mort_2000_rto_GDL,u5mort_2016_rto_GDL,u5mort_2010_rto_GDL,u5mort_2006_rto_GDL,u5mort_2023_rto_GDL,u5mort_1996_rto_GDL,u5mort_2004_rto_GDL,u5mort_2014_rto_GDL,u5mort_2022_rto_GDL,u5mort_2012_rto_GDL,u5mort_2001_rto_GDL,u5mort_2018_rto_GDL,u5mort_2021_rto_GDL,u5mort_1998_rto_GDL,u5mort_2003_rto_GDL,u5mort_2008_rto_GDL,u5mort_1994_rto_GDL,u5mort_1997_rto_GDL,u5mort_1995_rto_GDL,u5mort_2007_rto_GDL,u5mort_1999_rto_GDL,u5mort_2020_rto_GDL,u5mort_1992_rto_GDL,u5mort_1993_rto_GDL,u5mort_2024_rto_GDL,u5mort_1991_rto_GDL
AFG,Afghanistan,102.172,62.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,NA,NA,19.48,21.933,5.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DZA,Algeria,NA,NA,NA,NA,NA,NA,26.383,18.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,101.47,NA,NA,NA,NA,NA,NA,NA,251.462,79.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,47.963,10.508,21.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.043,13.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,Bangladesh,63.574,NA,NA,NA,NA,NA,NA,45.333,NA,NA,NA,NA,NA,127.769,96.553,53.972,38.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,18.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLZ,Belize,28.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
