region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Sub-Saharan Africa,SSF,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,2.15,0.213605659674,0.090902837956,0.052686272491,0.147382601603,7.388850112203,4.673315545331,0.509410108372,0.519447177596,0.464338860669,0.009912799232,0.021986918898,0.033416108566,0.045094763693,0.056465896945,0.070481835694,0.088172284748,0.113397363591,0.159391212412,0.401680816222,0.014172993591,107.269989,16310860.19000002,1932.98847886814,,FALSE,micro,survey,,,9.722339206064,
Sub-Saharan Africa,SSF,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,2.15,0.145896882676,0.040396440369,0.016466047342,0.053352853443,6.526021569479,4.703097163662,0.311631502322,0.427155149878,0.391365249698,0.020722704667,0.033564171517,0.043176167923,0.053027305776,0.065425990436,0.07923758155,0.096511887757,0.122976103307,0.162341588705,0.323016498362,0.302878599798,107.269989,21996714,3193.28772270836,1268.61427771768,FALSE,micro,survey,,,6.92533801361,
Sub-Saharan Africa,SSF,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,2.15,0.311220062314,0.119189179199,0.062308797948,0.179055342041,5.482432642211,3.42054254428,0.47633345358,0.512639918289,0.470981496556,0.013348492215,0.024281558326,0.033329454811,0.043437127021,0.055829007536,0.069808939403,0.088692860363,0.115675891975,0.159380080334,0.396216588016,1.231026761625,107.269989,31480496.090000078,2775.74642272991,1605.11043188927,FALSE,micro,survey,,,11.098682931466,
Europe & Central Asia,ECS,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,2.15,0.005348460357,9.82145368e-4,3.04759078e-4,0.001203123916,7.933157551026,6.972102629678,0.119104326584,0.270103419751,0.241293272375,0.038817883466,0.052792297005,0.063706566514,0.075240257439,0.083462238153,0.092457305123,0.107789612861,0.126116176356,0.152507706392,0.207109956691,0.399635230944,50.35737228,3168033,1683.76965547424,1522.87187313081,FALSE,micro,survey,,,3.9995029119,
Europe & Central Asia,ECS,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,2.15,0.010926473904,0.001894348648,5.94229855e-4,0.002382839266,8.108228792246,6.688141411234,0.164811599639,0.317389798335,0.268981638919,0.03523453383,0.048484450621,0.058520715358,0.067376298306,0.076407873319,0.088384438922,0.102324653414,0.119868981708,0.149999215591,0.253398838931,0.701637001511,50.35737228,3051010,2297.10853513924,1572.29545989804,FALSE,micro,survey,,,4.20841903388,
Europe & Central Asia,ECS,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,2.15,0.005910856841,8.9723349e-4,2.28511914e-4,0.001042395716,9.165974570182,7.799791172757,0.154412756483,0.305956557281,0.254528656817,0.034870461608,0.049362953423,0.059658204008,0.06935465629,0.079654226763,0.090390907976,0.104065136108,0.121028738588,0.148298449437,0.243316265798,0.753957831448,50.35737228,3011487,2712.86983830331,1969.24169374881,FALSE,micro,survey,,,3.668447903735,
Europe & Central Asia,ECS,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,2.15,0.001999251462,3.96410988e-4,8.6903135e-5,4.48972677e-4,10.038169339904,8.400199674247,0.148893380953,0.299846704223,0.247311112608,0.037382980864,0.051433949416,0.06098501954,0.069847255057,0.079011325561,0.089379472656,0.102883019772,0.119204651405,0.145468019414,0.244404306315,0.820114038486,50.35737228,2947314,3345.98161761476,2735.22412768351,FALSE,micro,survey,,,3.278544351376,
Europe & Central Asia,ECS,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,2.15,0.006206908872,0.001308925386,4.5241814e-4,0.001637725376,9.517231461894,8.240384965534,0.138417068042,0.289604845586,0.249987920799,0.036604352903,0.05192535994,0.06146082609,0.070334993378,0.080799744944,0.092617752259,0.105133410116,0.122924903997,0.148902113141,0.229296543231,0.917182750351,50.35737228,2900401,3720.22876474985,2875.74071620565,FALSE,micro,survey,,,3.453317964289,
Europe & Central Asia,ECS,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,2.15,0.01023100774,0.001387079265,2.67282302e-4,0.001545264684,10.141309878448,8.295375496576,0.198661566313,0.345988964668,0.324309701504,0.028540807069,0.041743442246,0.052298414672,0.063048669594,0.075132675589,0.089338199414,0.105912036203,0.127275531103,0.161268536997,0.255441687113,0.950155390384,50.35737228,2889104,3883.63262828191,3030.08514575557,FALSE,micro,survey,,,3.647728859896,
Europe & Central Asia,ECS,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,2.15,0.00096067493900000005,4.0287015e-5,2.737962e-6,4.1733626e-5,12.245265078093,10.043125751265,0.175495470024,0.327537317764,0.300363766021,0.031547363603,0.045467807624,0.055666923442,0.065791515741,0.076198266328,0.088866304853,0.104759011687,0.125259420386,0.158704782985,0.247738603351,0.968171975305,50.35737228,2880703,3981.72662261867,3090.92503415278,FALSE,micro,survey,,,2.878724508833,
