Indicator,Year,Country ISO 3 code,Country,Global,WHO region,SDG region,World bank income group,Datasource short,Datasource long,Comments,Value Numeric,Value String
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Latin America and the Caribbean,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Australia and New Zealand,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,95,95
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Sub-Saharan Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,71,71
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Central Asia and Southern Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Northern America and Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Western Asia and Northern Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,72,72
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Eastern Asia and South-eastern Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Americas,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Central America,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,74,74
