"gdlcode","ID","overlap_area_m2","gdl_area_m2","pct_overlap"
"ARMr102","ARM001",1200939655.23521,2223512442.30627,0.540109257940365
"ARMr105","ARM001",1511435525.94685,3582284336.87064,0.421919474786077
"ARMr106","ARM001",496325911.299181,1971830725.38962,0.251708173986948
"ARMr107","ARM002",774225898.248474,2984910232.06448,0.25937996055345
"ARMr108","ARM001",3407610824.46626,4497277559.33895,0.757705251567158
"ARMr109","ARM001",2283999426.25383,2313433257.91533,0.987276991216068
"ARMr110","ARM001",1743558760.44108,2518324864.97597,0.692348626140306
"AUSr101","AUS003",800834450567.602,800951037755.512,0.999854439057553
"AUSr102","AUS003",227435068454.183,227496511656.204,0.999729915849812
"AUSr104","AUS004",983808153470.336,984185589411.001,0.999616499220547
"AUSr106","AUS004",67037435380.8532,68153614115.6462,0.983622603888635
"AUSr108","AUS003",2357948261.01903,2357948261.01909,0.999999999999973
"AUTr101","AUT001",3946753097.05477,3965304754.09062,0.995321505360537
"AUTr102","AUT001",19179154986.7219,19199543885.9031,0.998938052940091
"AUTr103","AUT001",414967396.428474,414967396.428467,1.00000000000002
"AUTr104","AUT001",9539466570.72684,9545135040.97264,0.999406140382355
"AUTr105","AUT001",16410044482.578,16417082474.3116,0.9995713007019
"AUTr106","AUT001",11968843721.4912,11987563622.5175,0.998438389850031
"AUTr107","AUT001",7151760968.53748,7162332088.44266,0.998524067332449
"AUTr108","AUT001",12612114171.9094,12651213534.0779,0.996909437812968
"AUTr109","AUT001",2588071176.5776,2603752635.87486,0.99397736210376
"AZEr103","AZE003",3459129508.52189,12032996030.3414,0.287470344027344
"AZEr104","AZE001",2860312369.49091,8720661124.91365,0.327992606124715
"AZEr105","AZE002",2947626143.28821,5584994690.61608,0.527775997395452
"AZEr106","AZE001",2912842335.52911,7332717097.54946,0.397239153887794
"AZEr110","AZE004",3177689944.61321,5392618517.53292,0.589266593637515
"BGRr101","BGR001",19272681709.5856,19274309620.9301,0.999915539836368
"BGRr102","BGR001",14989367117.5133,14989812531.986,0.9999702855208
"BGRr103","BGR001",14536729432.3505,14538195512.1889,0.999899156684395
"BGRr104","BGR001",19671785061.027,19675557473.8639,0.999808269074869
"BGRr105","BGR001",20666743947.7648,20669668715.373,0.999858499541115
"BGRr106","BGR001",22437122713.0984,22440123917.6098,0.999866257222001
"BIHr104","BIH001",5767562606.65695,10319653380.6863,0.558891117162053
"BLZr101","GTM002",6464354950.92913,6664509063.23792,0.96996716331097
"BLZr101","GTM003",6591349240.24666,6664509063.23792,0.98902247377908
"BLZr102","GTM002",3112199317.04888,3354846743.18983,0.927672575018959
"BLZr102","GTM003",3354846743.18954,3354846743.18983,0.999999999999915
"BLZr103","GTM002",5292208643.95535,5292208643.95497,1.00000000000007
"BLZr103","GTM003",5268632718.76951,5292208643.95497,0.99554516331997
"BLZr104","GTM002",6674147049.87394,6730851669.41023,0.991575416853414
"BLZr104","GTM003",6722833641.52472,6730851669.41023,0.998808764733005
"BOLr101","BOL001",30546035675.2059,54449773757.7228,0.560994721688325
"BOLr102","BOL001",81118370317.5858,131218825551.572,0.618191558845378
"BOLr106","BOL003",15474580255.3849,37259507533.9731,0.415318969024892
"BOLr107","BOL002",109652366126.212,368671582596.929,0.297425598560701
"BOLr107","BOL003",165136652306.204,368671582596.929,0.447923463867161
"BOLr108","BOL001",205574438330.67,206788764593.253,0.99412769709722
"BOLr109","BOL001",63379094415.0809,63643832385.794,0.995840320094046
"BRAr101","BRA010",237147099970.856,237445629988.287,0.998742743686435
